kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,DRAMAGA,BABAKAN,KELURAHAN,PEREMPUAN,7460,2019
KABUPATEN BOGOR,DRAMAGA,CIKARAWANG,DESA,LAKI-LAKI,6615,2019
KABUPATEN BOGOR,DRAMAGA,CIKARAWANG,DESA,PEREMPUAN,6258,2019
KABUPATEN BOGOR,CIOMAS,KOTA BATU,DESA,LAKI-LAKI,5997,2019
KABUPATEN BOGOR,CIOMAS,KOTA BATU,DESA,PEREMPUAN,6035,2019
KABUPATEN BOGOR,CIOMAS,MEKARJAYA,DESA,LAKI-LAKI,8804,2019
KABUPATEN BOGOR,CIOMAS,MEKARJAYA,DESA,PEREMPUAN,8856,2019
KABUPATEN BOGOR,CIOMAS,PARAKAN,DESA,LAKI-LAKI,3505,2019
KABUPATEN BOGOR,CIOMAS,PARAKAN,DESA,PEREMPUAN,3180,2019
KABUPATEN BOGOR,CIOMAS,CIOMAS,DESA,LAKI-LAKI,6068,2019
KABUPATEN BOGOR,CIOMAS,CIOMAS,DESA,PEREMPUAN,6109,2019
KABUPATEN BOGOR,CIOMAS,PAGELARAN,DESA,LAKI-LAKI,4906,2019
KABUPATEN BOGOR,CIOMAS,PAGELARAN,DESA,PEREMPUAN,4522,2019
KABUPATEN BOGOR,CIOMAS,SUKAMAKMUR,DESA,LAKI-LAKI,2790,2019
KABUPATEN BOGOR,CIOMAS,SUKAMAKMUR,DESA,PEREMPUAN,2667,2019
KABUPATEN BOGOR,CIOMAS,CIAPUS,DESA,LAKI-LAKI,6900,2019
KABUPATEN BOGOR,CIOMAS,CIAPUS,DESA,PEREMPUAN,6587,2019
KABUPATEN BOGOR,CIOMAS,SUKAHARJA,DESA,LAKI-LAKI,5641,2019
KABUPATEN BOGOR,CIOMAS,SUKAHARJA,DESA,PEREMPUAN,5290,2019
KABUPATEN BOGOR,CIOMAS,PADASUKA,KELURAHAN,LAKI-LAKI,9688,2019
KABUPATEN BOGOR,CIOMAS,PADASUKA,KELURAHAN,PEREMPUAN,9390,2019
