id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,status_pemerintahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
94,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040002,SITU ILIR,32.01.16,CIBUNGBULANG,32.01.16.2002,SITU ILIR,DESA,PEREMPUAN,6245,JIWA,2019
95,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040003,CIBATOK 2,32.01.16,CIBUNGBULANG,32.01.16.2012,CIBATOK II,DESA,LAKI-LAKI,4514,JIWA,2019
96,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040003,CIBATOK 2,32.01.16,CIBUNGBULANG,32.01.16.2012,CIBATOK II,DESA,PEREMPUAN,4136,JIWA,2019
97,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040004,CIARUTEN UDIK,32.01.16,CIBUNGBULANG,32.01.16.2005,CIARUTEUN UDIK,DESA,LAKI-LAKI,4221,JIWA,2019
98,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040004,CIARUTEN UDIK,32.01.16,CIBUNGBULANG,32.01.16.2005,CIARUTEUN UDIK,DESA,PEREMPUAN,4022,JIWA,2019
99,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040005,CIBATOK 1,32.01.16,CIBUNGBULANG,32.01.16.2004,CIBATOK I,DESA,LAKI-LAKI,3940,JIWA,2019
100,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040005,CIBATOK 1,32.01.16,CIBUNGBULANG,32.01.16.2004,CIBATOK I,DESA,PEREMPUAN,3641,JIWA,2019
101,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040006,SUKAMAJU,32.01.16,CIBUNGBULANG,32.01.16.2013,SUKAMAJU,DESA,LAKI-LAKI,5955,JIWA,2019
102,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040006,SUKAMAJU,32.01.16,CIBUNGBULANG,32.01.16.2013,SUKAMAJU,DESA,PEREMPUAN,5666,JIWA,2019
103,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040007,CEMPLANG,32.01.16,CIBUNGBULANG,32.01.16.2003,CEMPLANG,DESA,LAKI-LAKI,5841,JIWA,2019
